origen_id,destino_id,distancia_km,tiempo_min
105,80,67.92233999999999,60.106
105,81,117.75492999999999,106.202
105,82,92.48231,73.42566666666667
105,83,60.10518,72.6715
105,84,47.4774,53.29933333333334
105,85,80.86555,65.875
105,86,18.377959999999998,24.193833333333334
105,87,153.40309,107.91416666666667
105,88,51.47542,45.38483333333333
105,89,103.94967999999999,88.39416666666666
105,90,37.40243,40.242666666666665
105,91,35.45386,37.80783333333333
105,92,69.46013,74.72666666666667
105,93,51.40618,48.2065
105,94,26.9682,32.38333333333333
105,95,131.02801,103.40783333333334
105,96,20.446189999999998,24.11916666666667
105,97,34.86305,39.149
105,98,45.38845,43.76566666666667
105,99,59.61454,53.49433333333333
105,100,32.24855,40.10933333333333
105,101,75.33913000000001,67.24416666666667
105,102,109.34900999999999,96.807
105,103,44.70769,49.334500000000006
105,104,19.63774,26.749333333333333
105,105,0.0,0.0
105,106,30.948,40.506499999999996
105,107,28.83907,35.95333333333333
105,108,25.723779999999998,28.839333333333332
105,109,30.37494,35.7605
105,110,30.495720000000002,38.18283333333333
105,111,32.08354,38.867666666666665
105,112,31.10839,35.830000000000005
105,113,29.958779999999997,33.48083333333333
105,114,24.35554,26.739833333333333
105,115,27.28194,32.147
105,116,37.12069,46.43816666666667
105,117,238.89448000000002,170.60516666666666
105,118,139.37266,103.4555
105,119,274.85125,190.025
105,120,131.14184,93.8305
105,121,118.64912,84.5005
106,0,37.68624,39.074
106,1,35.80691,44.55983333333334
106,2,82.14179,61.68683333333333
106,3,101.84555999999999,117.67116666666668
106,4,56.0443,54.693
106,5,17.533360000000002,25.089
106,6,41.87364,43.68366666666667
106,7,30.2375,40.86116666666667
106,8,38.17207,41.445166666666665
106,9,84.79709,84.6105
106,10,99.3683,85.071
106,11,57.43851,56.099666666666664
106,12,29.73513,32.827333333333335
106,13,65.65378,62.38966666666667
106,14,70.59156,70.83633333333334
106,15,116.03082,91.45733333333332
106,16,57.374970000000005,55.225166666666674
106,17,54.59099,54.183
106,18,45.84393,48.60466666666667
106,19,26.69937,38.03966666666667
106,20,48.9109,51.93383333333334
106,21,76.10035,62.766333333333336
106,22,39.293839999999996,42.46666666666667
106,23,46.54686,41.802
106,24,34.84501,46.01733333333333
106,25,60.84537,53.96633333333333
106,26,12.082180000000001,16.4805
106,27,70.06761,60.29883333333333
106,28,108.15344999999999,83.68333333333334
106,29,60.81597,67.1255
106,30,41.58466000000001,47.1525
106,31,41.53254,42.94083333333333
106,32,72.71581,62.57
106,33,104.4559,92.15566666666668
106,34,81.29282,96.31316666666666
106,35,66.31531,76.38883333333334
106,36,48.73848,57.38933333333333
106,37,67.66054,69.51516666666666
106,38,43.58392,54.205000000000005
106,39,92.90973,76.55333333333333
106,40,90.85347999999999,70.96766666666667
106,41,32.70296,35.279833333333336
106,42,65.81817,50.01566666666667
106,43,51.950160000000004,51.891666666666666
106,44,94.12632,70.7125
106,45,43.53643,40.06733333333333
106,46,70.4557,59.425
106,47,46.66136,49.081
106,48,58.51336,54.886833333333335
106,49,90.8133,69.01566666666666
106,50,45.829980000000006,49.762166666666666
106,51,102.86974000000001,117.96166666666666
106,52,53.274660000000004,49.82083333333333
106,53,102.55005,75.279
106,54,65.03023,57.47166666666667
106,55,78.10256,84.33533333333334
